Temperature;1;2;3;4;5;6;7;8
81,86;80,56495451;80,5594564;80,65168742;80,54912553;80,50269868;80,61719168;80,53097739;80,49197907
81,87;80,5055177;80,49993779;80,58717759;80,48776963;80,44107939;80,5511706;80,47063994;80,43024637
81,88;80,4460809;80,44031977;80,52243791;80,42637319;80,37922481;80,48487311;80,41014089;80,36821688
81,89;80,38613365;80,38009911;80,45702785;80,36409829;80,31681659;80,41803005;80,34905418;80,3058906
81,9;80,32575688;80,31956159;80,39104317;80,30123552;80,25424228;80,35070689;80,28754879;80,24321286
81,91;80,26534899;80,25907376;80,32493719;80,23836599;80,19173718;80,28320188;80,22613888;80,18035549
81,92;80,20481659;80,19827529;80,25869075;80,17528022;80,12891374;80,21528951;80,16456736;80,11752937
81,93;80,1441597;80,13716619;80,19230386;80,11197822;80,06577196;80,14696978;80,10283424;80,0547345
81,94;80,08297991;80,07536125;80,12516996;80,04800049;80,00203504;80,07776985;80,04038124;79,99158816
81,95;80,02163202;80,01323946;80,05730821;79,98363759;79,93796593;80,00811163;79,97772991;79,92797318
81,96;79,96046466;79,95122329;79,98945285;79,91945715;79,87399371;79,93842432;79,91540914;79,86425666
81,97;79,89898605;79,8890953;79,92159748;79,85520914;79,81006302;79,8683442;79,85300022;79,80061826
81,98;79,83719619;79,82685549;79,85374212;79,79089357;79,74617385;79,79787128;79,79050316;79,73705796
81,99;79,77487719;79,76410002;79,78511421;79,72608472;79,68166876;79,72672913;79,72725685;79,67309153
82;79,71242747;79,70102769;79,71562439;79,66119477;79,61683147;79,65554332;79,66387833;79,60882048
82,01;79,65012714;79,63795535;79,64580257;79,59635212;79,55212566;79,58456119;79,60086709;79,54458849
82,02;79,58762761;79,5745848;79,57568705;79,53115808;79,48708767;79,51311351;79,53747386;79,48001285
82,03;79,52492888;79,51091603;79,50527784;79,46561268;79,4217175;79,44120029;79,47369865;79,41509357
82,04;79,46154539;79,44687449;79,43412164;79,39966859;79,35563454;79,36813774;79,40932845;79,34944014
82,05;79,39778842;79,38277706;79,36248661;79,33342043;79,28909483;79,2945296;79,34487009;79,2834118
